frame,FaceRectX,FaceRectY,FaceRectWidth,FaceRectHeight,FaceScore,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,y_0,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25,y_26,y_27,y_28,y_29,y_30,y_31,y_32,y_33,y_34,y_35,y_36,y_37,y_38,y_39,y_40,y_41,y_42,y_43,y_44,y_45,y_46,y_47,y_48,y_49,y_50,y_51,y_52,y_53,y_54,y_55,y_56,y_57,y_58,y_59,y_60,y_61,y_62,y_63,y_64,y_65,y_66,y_67,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43,anger,disgust,fear,happiness,sadness,surprise,neutral,input
0,209.145,60.765987,62.77983,80.853516,0.9978235,210.1935972,209.5846498,209.4037331,210.4225099,212.4398067,215.5880346,220.7168723,227.9652557,237.4932916,247.4812219,256.111249,262.5081542,267.3999643,271.3972764,274.3568804,276.1250207,277.2823286,217.432534,220.6862158,225.5778369,230.9534279,235.735774,249.7438021,254.839211,260.6071911,265.6236656,269.3585756,242.4458666,242.0559011,241.5950236,241.1918442,234.0158392,237.1698756,240.7347856,244.4767351,247.8479216,222.2833153,226.56996,230.4099241,234.2091708,230.3662599,226.719453,250.9370506,255.2220736,259.019583,262.7503073,258.5695231,254.7717464,228.1302389,231.0617889,236.9078541,240.5020366,244.2263782,250.3107619,253.4262598,249.8385823,243.8235838,239.0854727,234.5794899,229.9679525,229.6251619,236.4166532,240.0472972,243.7555983,252.0558267,244.0289402,239.6423829,235.3639578,94.31924868,100.4074647,106.6544285,113.6085949,121.1099117,128.409709,134.8771138,140.0813775,142.5042138,141.9316187,139.0405574,134.5551248,128.7710226,122.2418156,115.2706618,108.0861835,100.9887211,78.25419277,74.60353649,72.60567546,72.62780994,74.25421935,74.7946099,73.5180046,73.97981745,76.33449155,80.19418025,80.49629074,82.56094027,84.52752876,86.91055357,94.55203843,95.53863955,96.1088587,96.02455854,95.65672183,84.19721365,82.49700904,82.24314368,83.51657462,84.08851743,84.23202181,84.54726803,83.44130039,84.09568381,86.38758409,86.03034973,85.47082353,111.7266576,103.3049223,99.18554616,100.0297074,99.88080108,104.7594948,113.9266474,121.0945959,124.4692116,124.6019256,123.5971458,119.2209077,111.3384271,102.9494524,103.3043742,103.6530492,113.2284458,120.3564219,120.3325853,119.555182,0.493879523,0.458962508,0.396788655,0.143737902,0.764280904,0.791008029,0.460772612,0.933124741,0.415099838,0.691550139,0.422601553,0.5415103,0.284597756,0.38993653,0.285011732,0.060926344,0.923667067,0.605701096,0.065343031,0.417373383,0.51190066,0.003285218,0.28636944,0.042843387,0.0867078,0.046729,0.022164665,Happiness
0,38.862186,3.310227,73.794174,94.2844,0.98791635,40.43000404,42.18604647,44.56794746,48.32924715,53.39450577,60.00996614,67.790833,77.06226224,87.3257075,96.74106693,103.575067,107.8010883,110.9981242,112.4407895,112.4617488,111.1510832,109.4940611,48.4011035,51.52869946,57.47624934,64.8110477,71.52087009,84.40404969,90.43920857,96.9464587,102.3911759,105.9517083,80.66870779,82.02332371,83.37087363,84.82975566,75.76367044,80.15552545,84.75502145,88.65213364,92.34176928,55.74254084,60.08581966,65.15713638,70.113336,65.58502793,60.62766922,88.96066159,92.66381919,97.47530615,101.846796,97.87844545,93.2133289,67.69850007,72.30528754,80.22519356,85.00032133,89.55522507,96.77864093,100.3288767,98.60602713,92.69030613,86.69551158,80.65850663,72.96014553,69.18577081,80.11426991,85.07568151,89.90125275,99.07498854,92.03810054,86.49982232,80.78530759,42.82519493,52.7675584,62.4841888,72.23402733,81.04750264,88.50074953,94.77810496,99.16671872,100.1284389,97.47704017,91.29707581,83.2966162,74.48714072,65.28822297,55.67857474,46.58150941,37.82253841,27.06155072,20.11492544,15.67177223,14.13141158,14.79085094,15.59080885,14.4997082,15.36255599,18.95316733,24.94088526,29.1025286,32.1521332,34.79354301,37.95792785,47.97973356,48.27597025,48.53603077,47.78784254,47.19891542,35.07285735,30.6882222,30.23613805,34.25517076,35.51478013,35.88304558,34.27219391,30.21413103,30.09925264,34.0698365,34.99748391,35.24933523,66.60992253,56.65931803,51.51859313,51.60600054,51.03602487,55.22962308,64.55402619,73.8790924,78.94837737,79.86874127,79.48090106,75.17302126,66.14021313,57.03984821,56.97403669,56.4973833,63.91280156,73.56369472,74.49343753,74.19824588,0.65361456,0.542717354,0.24793923,0.320192874,0.630289262,0.666229118,0.284200671,0.863244505,0.405063552,0.725350107,0.404826848,0.426690773,0.271233054,0.278502842,0.274169701,0.07735885,0.964887513,0.721195284,0.084744984,0.365016939,0.23374397,0.056049224,0.28552678,0.03657356,0.1401381,0.019580083,0.22838822,Happiness
0,93.004196,34.65499,54.82341,75.1297,0.97631925,101.1621796,100.2301831,99.71827465,100.1047849,101.9445953,105.2385644,109.8821261,116.0270691,123.0639271,130.1077952,136.1567037,141.1322576,145.0698148,147.6436243,149.3305739,149.9879612,150.0187597,110.1456113,113.0139602,117.0318931,121.3038894,125.1776741,134.4015048,138.3054743,142.3781101,145.5316515,146.9063551,129.8875673,129.9142038,130.0081612,130.235061,123.1735375,125.9197268,128.7544173,131.3906461,133.8429726,113.7407101,116.8246686,119.9358793,122.2061387,119.6074394,116.6159375,135.1735969,138.1962612,141.2189137,143.342582,140.9517699,138.0167295,116.0421969,119.6635448,125.115837,127.9748272,130.9134121,134.8110992,135.9152366,133.2772965,129.0527726,125.377009,121.8068826,118.0416738,116.9428845,124.6554912,127.6904215,130.5809813,135.2232152,129.3134805,125.9222485,122.5888292,63.40072417,70.69007403,78.12760234,85.805691,93.19631732,99.75972176,105.5829577,109.6914983,111.4068861,110.746273,107.3797538,102.3733857,96.39588153,89.70002639,82.66130376,75.48422956,68.31923836,59.28207546,55.67586726,53.81995538,53.73274067,54.72269842,53.82679448,52.92141965,53.33815411,55.61473238,59.45322007,61.59957325,64.22562701,66.83866936,69.78738213,77.26367319,77.58419609,77.98331451,78.04873538,78.00181961,63.98308396,61.95887464,61.94436443,64.39449191,64.95695204,64.81723934,64.81988686,62.58675563,62.76521927,65.30048633,65.89432919,65.71643203,91.64450526,85.55394852,82.68222034,83.41059101,83.25028038,86.75051701,92.99942529,98.1122371,100.2546583,100.1300951,99.45393527,96.80122733,91.32693672,86.02331865,86.50168562,86.65921497,92.55853271,96.79973638,96.84561753,96.17937899,0.56753292,0.421162768,0.371687034,0.381892641,0.252787011,0.604938663,0.209545059,0.769360152,0.379215056,0.337434409,0.260515437,0.440132367,0.294591188,0.289684995,0.233329659,0.048385059,0.950434878,0.805961557,0.111630958,0.165690816,0.12077494,0.29422075,0.04481715,0.43924966,0.07553927,0.014319466,0.011078704,Happiness
0,283.27435,145.67201,85.160126,105.6398,0.89854145,293.9178663,297.5287467,302.54614,308.4114016,315.4562866,323.4688863,332.2707759,341.2146064,349.2015387,354.9254695,357.6215136,359.3971779,360.7024696,361.645379,361.9565965,361.5904636,360.34379,305.0094646,309.1335167,315.0575769,321.9232122,328.580875,346.252089,349.0381717,351.7996294,354.4526886,357.0023888,341.0206147,344.0050709,346.8083146,349.4214392,339.0540514,343.0290807,347.0788071,350.1180567,352.0757556,314.4098485,318.7037422,323.8737656,328.4750811,324.9713739,319.888445,347.2667778,349.1987007,352.7352023,355.7673752,354.2156271,350.7196119,334.0985175,338.7734056,344.2110939,346.877012,348.7524757,351.9638187,353.0197047,352.6881433,350.3924057,347.3977484,343.484796,338.5787985,334.941341,344.0364329,346.9365532,349.0501181,352.8514678,349.2772543,346.815439,343.4801649,192.882459,204.9115063,216.279866,226.6154026,235.1328778,241.4043533,245.8633296,247.8548318,246.2557646,241.1507704,233.8080461,225.118714,215.9275082,206.7336257,197.1283808,187.9130507,179.284869,184.4414638,178.8799805,175.3096678,174.3474617,175.018227,173.5053737,171.1391976,169.528736,168.9218806,169.7618812,185.9397823,192.6058538,198.8952283,205.4552683,212.8413851,213.4329659,213.0293022,211.636742,209.6249925,191.8913093,187.8413286,186.634282,189.3403777,192.5480095,193.7368439,185.3412426,181.1190152,179.4109974,181.1146993,184.4793493,185.9944741,228.4345444,223.6358696,220.1451986,220.1249329,218.4921734,219.8996889,223.5249451,228.697502,232.6893284,234.3319169,234.8190747,232.6529409,227.9398168,223.4333409,222.9316943,221.8145667,223.629454,228.0706756,229.3393636,229.8653463,0.544036588,0.429999193,0.340019292,0.538360965,0.105664494,0.319093464,0.032261329,0.521564693,0.37699127,0.121347275,0.335525106,0.233689864,0.23449991,0.165870346,0.406344852,0.169155456,0.789667426,0.688324691,0.133571791,0.029491013,0.016620269,0.003569506,0.6478337,0.014879016,0.13712706,0.11848738,0.061483096,Happiness
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Happiness
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Happiness
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Happiness
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Happiness
0,242.87407,78.57473,54.06218,63.132225,0.8928992,245.0727067,244.9711392,246.3032583,248.7460234,251.6707433,255.9200636,261.5715374,268.0115332,275.23619,281.771884,287.2953602,292.0101905,294.4825957,296.02999,296.690068,295.9375392,294.1139729,257.297106,259.2444271,262.2547468,264.8353462,266.9762391,274.4059193,275.5468742,277.4731194,279.8494192,282.4513168,271.3594352,272.1760552,273.1353501,273.9620802,270.2491845,271.8926408,273.8781503,275.9149659,277.4250588,261.8562244,264.1417375,266.6475219,268.6291054,266.5403721,264.373181,275.0667881,276.770862,279.256135,280.7652917,279.3184009,277.13596,268.6868905,270.6764225,273.2398583,274.7962887,275.8888998,278.1745782,279.9221178,277.8419861,275.6227041,274.5072095,273.3408377,271.2408279,269.2536229,273.2458339,274.6223432,275.7895962,279.6051984,275.3817209,274.4663756,273.2054523,90.90623379,97.57720107,105.1055692,112.3171654,119.2341021,125.2057447,129.6514093,132.3564067,132.919329,130.6792643,126.1958894,120.2580783,113.7396345,107.1814818,100.3422535,93.17522159,87.27669063,82.70902927,81.06084044,80.71736713,81.79899326,83.78918363,83.52186976,81.40320784,79.95093051,79.14186238,79.70795228,89.33700535,94.14676768,98.51262307,102.7582071,107.6324196,108.5340612,108.6037484,108.2805681,107.2000046,90.37858677,87.72669512,87.61918342,91.05053046,91.00091505,91.03986663,89.95660448,86.86042628,86.48491129,88.68635982,89.59313118,89.81671476,117.7276402,115.2665803,113.928879,114.5542167,113.7323489,114.8617656,116.7261462,117.77729,118.7285322,119.0121472,118.9838191,118.3681195,117.4132856,116.0861075,116.1663907,115.9762256,116.4429482,116.4726295,116.5049387,116.6006428,0.410296232,0.282856469,0.472217432,0.435793313,0.039822413,0.159828962,0.015266846,0.17172675,0.37699127,0.087408779,0.26071554,0.389399112,0.516734609,0.038447713,0.387121695,0.758768387,0.266106191,0.304202135,0.383153887,0.025457111,0.10958122,0.000786425,0.15854609,0.57991105,0.005530295,0.07513815,0.0705067,Happiness
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Happiness
